"";"fala";"autor";"comentario";"data"
"42";"Eu passo à leitura de voto em separado do Senador Alessandro Vieira, Marcos Rogério, Eduardo Girão, Eduardo Braga e Luis Carlos Heinze.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"43";"– Sr. Presidente, apenas para registro, eu não tenho voto em separado. Eu apresentei uma contribuição, que foi absorvida pelo relatório do Senador Renan, e estou contemplado nesse sentido.";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE. Pela ordem.";"26/10/2021"
"44";"– O Senador Renan, depois, faz o acréscimo de voto. Primeiro, nós vamos ouvir os senhores...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"45";"– Mas, Sr. Presidente, por uma questão até de justiça, tendo o Senador Renan acatado em completo o adendo apresentado por nós, inclusive com o indiciamento do Governador e do secretário estadual, eu posso retirar o meu voto em separado, que, na realidade, acata todo o relatório de V. Exa. e apenas aditava a questão do indiciamento. Se V. Exa. acata, eu retiro o voto em separado, e isso trará economia processual ao processo.";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Pela ordem.";"26/10/2021"
"46";"Apenas fazendo um registro, Sr. Presidente, esta CPI, ao longo de todo o seu trabalho, em tempo e momento algum tratou-se de comportamento eleitoral. E essa questão do Amazonas, o Brasil inteiro testemunhou os fatos horrendos, horrorosos que aconteceram no nosso Estado: pessoas morrendo à porta dos hospitais por falta de oxigênio, morrendo dentro dos hospitais com falta de oxigênio. E, durante todo o trabalho desta CPI, ficou fartamente comprovado isso. Portanto, quero cumprimentar V. Exa., cumprimentar o Relator, cumprimentar todos os Senadores e dizer que esse trabalho técnico não poderia deixar de fazer justiça aos amazonenses.";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Pela ordem.";"26/10/2021"
"47";"Portanto, assim sendo, eu retiro o meu voto em separado, Sr. Presidente.";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Pela ordem.";"26/10/2021"
"48";"– O Senador Renan acolhe, então, a questão de ordem do Senador...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"49";"– O encaminhamento.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL";"26/10/2021"
"50";"– ... o encaminhamento do Senador...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"51";"– Sr. Presidente, pela ordem.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"52";"– Só um minutinho. Deixa só ver...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"53";"O Senador Eduardo Braga inclui no relatório, e o Senador Renan Calheiros acolhe o pedido do Senador Eduardo Braga. Só para deixar claro.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"54";"– Perfeito. Perfeito.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL";"26/10/2021"
"55";"– Agora, voto em separado, temos do Senador Marcos Rogério, Senador Eduardo Girão e Luis Carlos Heinze. É isso?";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"56";"– O.k. Pela ordem, Sr. Presidente?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"57";"– Quinze mais cinco, não é?";"Humberto Costa";"Bloco Parlamentar da Resistência Democrática/PT - PE";"26/10/2021"
"58";"– Eu sei. É.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"59";"Questão de ordem, Senador...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"60";"Só um minutinho, que o Senador Izalci já tinha pedido antes, Senador Girão.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"61";"– Presidente, também quero registrar que, mesmo não sendo membro, participei ativamente da CPI, fiz um complemento de voto, e o Senador Renan recebeu esse aditivo, vamos dizer assim, ao voto.";"Izalci Lucas";"Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem.";"26/10/2021"
"62";"Só para informação, tecnicamente, V. Exa. sabe que o modus operandi do ministério é exatamente o do DF, só que aqui o que aconteceu? Lá, chegou a assinar o contrato e tal; aqui, não. Aqui a coisa avançou mais.";"Izalci Lucas";"Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem.";"26/10/2021"
"63";"É só para saber esse voto complementar como que é, se foi acatado, se entra no voto. Como é que é, só para tecnicamente...";"Izalci Lucas";"Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem.";"26/10/2021"
"64";"– Eu faço no relatório um registro do...";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL";"26/10/2021"
"65";"– ... do complemento...";"Izalci Lucas";"Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF";"26/10/2021"
"66";"– ... dos argumentos que V. Exa. remeteu a esta relatoria.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL";"26/10/2021"
"67";"– O.k.";"Izalci Lucas";"Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF";"26/10/2021"
"68";"– O Senador Renan depois vai...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"69";"– Eu vou apresentar as alterações.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL";"26/10/2021"
"70";"– ... apresentar as alterações que foram feitas, Senador.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"71";"– Obrigado.";"Izalci Lucas";"Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF";"26/10/2021"
"72";"– Pela ordem, Sr. Presidente.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES";"26/10/2021"
"73";"– Senador Girão.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"74";"– Pela ordem, Sr. Presidente. Pela ordem.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES";"26/10/2021"
"75";"– Sr. Presidente, muito obrigado.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.";"26/10/2021"
"76";"Eu queria ressaltar aqui... Já que o Senador Renan Calheiros se inclinou aí a acatar a solicitação do adendo do Senador Eduardo Braga pra indiciar o Governador do Amazonas, eu queria dizer que entreguei, na sexta-feira, no gabinete do Senador Renan Calheiros, um adendo também falando duma parte importante do meu relatório, que eu vou ler daqui a pouco. E, por questão de coerência, Senador Jorginho, por questão de isonomia e justiça, que se inclua também, Senador Renan Calheiros – é o pedido que eu lhe faço, já que vai acolher o indiciamento do Governador do Amazonas –, que se inclua também de outros Governadores, como o caso escandaloso do Pará, que envolve R$1,2 bilhão de verbas federais na saúde. É uma questão de ser coerente. Então, eu queria sugerir também o indiciamento do Sr. Carlos Gabas, que eu estou registrando publicamente, mas já entreguei para o senhor o adendo mostrando documentos, mostrando tudo, pedindo o indiciamento dele; o caso do Governador de Santa Catarina, onde os respiradores foram parar numa casa de massagem...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.";"26/10/2021"
"77";"– Isso aí já é defesa de voto.";"Humberto Costa";"Bloco Parlamentar da Resistência Democrática/PT - PE";"26/10/2021"
"78";"– Só um minutinho.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"79";"– Isso aí é defesa do voto.";"Humberto Costa";"Bloco Parlamentar da Resistência Democrática/PT - PE";"26/10/2021"
"80";"– Só por respeito. Só por respeito.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"81";"– Só o deixe... É questão de ordem do Senador Girão. Está mantida a palavra de V. Exa.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"82";"– Eu lhe agradeço, Senador Omar Aziz, porque é uma questão de justiça, se a gente quer obedecer a um rito.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"83";"O Governador do Amazonas, entre alguns problemas que eu também coloco no meu relatório, teve loja de vinho vendendo respiradores, e nós tivemos em Santa Catarina casa de massagem recebendo dinheiro de respiradores que nunca chegaram. Nós tivemos aqui no Distrito Federal loja de brinquedo vendendo testes. Também deve ser incluído o Governador do Distrito Federal, por uma questão de coerência, e o Governador da Bahia, Rui Costa, que comprou os respiradores do Consórcio Nordeste numa empresa que vende produtos ligados à maconha.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"84";"Então, tudo isso é robusto, é de conhecimento público, e eu queria pedir, por questão de coerência, de justiça, que se incluísse também no relatório. Já que vai incluir um, temos que incluir todos. Eu quero saudar inclusive o Senador Eduardo Braga, que pediu que fosse incluído o Governador do Amazonas, mas os outros também não podem ficar de fora, porque aí são dois pesos e duas medidas.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"85";"Muito obrigado, Sr. Presidente.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"86";"– Pela ordem, Presidente.";"Eliziane Gama";"PDT/CIDADANIA/REDE/CIDADANIA - MA";"26/10/2021"
"87";"– Pela ordem, Sr. Presidente.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES";"26/10/2021"
"88";"– Senador Contarato, depois Senadora Eliziane.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"89";"– Serei breve, Sr. Presidente. Eu só queria fazer mais um apelo ao Senador Renan Calheiros.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"90";"Senador Renan, eu pediria a V. Exa... Eu entendo...";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"91";"Eu vou pedir só um minuto, Sr. Presidente, porque eu pediria só...";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"92";"Sr. Senador Renan, eu entendo que V. Exa. entendeu que o genocídio de povos indígenas estaria alcançado talvez pelo princípio da consunção pelo Artigo 7º do Estatuto de Roma, só que eu queria falar que o crime de genocídio de indígenas é um grupo específico, e existe a possibilidade de você ter dois crimes: um crime contra a humanidade e o genocídio de povos indígenas. Nós temos inúmeros documentos que comprovam a omissão do Governo Federal. Ele só implementou medidas pra proteger os povos indígenas depois da ADPF 709, quando essa determinação de proteção aos povos originários está prevista no art. 232.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"93";"Nós temos inúmeros documentos que comprovam a omissão do Governo Federal. Ele só implementou medidas pra proteger os povos indígenas depois da ADPF 709, quando essa determinação de proteção aos povos originários está prevista no art. 232.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"94";"Então, eu faço mais um apelo. Eu sei que V. Exa. já fez isso, mas, aqui na CPI, vigora o princípio do in dubio pro societate: na dúvida, eu tenho que proteger a sociedade. Deixe o Ministério Público... Se o Ministério Público entender que deve, o crime contra a humanidade absorve o genocídio de povos indígenas, e perfeitamente eu estarei aqui, como bom defensor da democracia, atendendo, mas, nesse contexto, eu faço um último apelo: coloque, no relatório de V. Exa., o genocídio dos povos indígenas, porque mais de 1,2 mil indígenas perderam a vida.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"95";"Antes da pandemia – eu quero deixar aqui esse depoimento, Senador Omar –, eu estive visitando os guaranis kaiowás, em Mato Grosso do Sul. Eles estão sendo dizimados. É uma política anti-indigenista o que o Governo Federal tem feito. E, com a covid, ele só agravou e tem a digital na morte desses povos, desses nossos irmãos, desses nossos irmãos povos indígenas. Eu faço esse apelo pra introduzir o genocídio, lá no Art. 6º do Estatuto de Roma, como genocídio de povos indígenas.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"96";"Muito obrigado, Sr. Presidente.";"Fabiano Contarato";"PDT/CIDADANIA/REDE/REDE - ES. Pela ordem.";"26/10/2021"
"97";"– Senadora Eliziane.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"98";"– Sr. Presidente, eu queria cumprimentar o Relator. Na hora da minha discussão, farei o destaque, Relator, mas já lhe agradeço por ter aceitado as várias contribuições que nós fizemos em relação ao seu relatório.";"Eliziane Gama";"PDT/CIDADANIA/REDE/CIDADANIA - MA. Pela ordem.";"26/10/2021"
"99";"Quero também fazer aqui, Senador Renan, mais uma solicitação. Eu apresentei um requerimento para o Plenário do Senado Federal, que é um voto de aplauso à mídia e aos profissionais da comunicação, sobretudo ao consórcio nacional de imprensa, que teve um papel fundamental no Brasil em relação à comunicação.";"Eliziane Gama";"PDT/CIDADANIA/REDE/CIDADANIA - MA. Pela ordem.";"26/10/2021"
"100";"Foi essa informação, foi essa comunicação que pautou, que deu uma referência para várias políticas restritivas em relação à locomoção, o que foi fundamental pra redução da quantidade de mortes, muito embora a gente saiba que esse número poderia ter sido bem menor se a ação do Governo Federal fosse diferente. O trabalho da mídia foi fundamental nesse sentido.";"Eliziane Gama";"PDT/CIDADANIA/REDE/CIDADANIA - MA. Pela ordem.";"26/10/2021"
"101";"O nosso requerimento é para o Plenário do Senado Federal, mas eu pediria a V. Exa. que pudesse consignar ainda no relatório de V. Exa., porque julgo um voto muito importante de aplauso à mídia nacional.";"Eliziane Gama";"PDT/CIDADANIA/REDE/CIDADANIA - MA. Pela ordem.";"26/10/2021"
"102";"Muito obrigada, Presidente.";"Eliziane Gama";"PDT/CIDADANIA/REDE/CIDADANIA - MA. Pela ordem.";"26/10/2021"
"103";"– Senador, eu vou passar a palavra pra leitura do seu voto em separado e discussão por quinze minutos, com a tolerância de cinco minutos pra esta Presidência.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"104";"Eu passo a palavra ao Senador Marcos Rogério.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"105";"Senador, o senhor está preparado já ou quer falar depois? Porque aí eu passaria para o Senador Eduardo Girão logo.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"106";"– Pode ser, Girão? Pode ser V. Exa.?";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"107";"– Pode ser, Sr. Presidente.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"108";"– Então, vou passar para o Senador Eduardo, porque o Senador Marcos Rogério estava ainda... Ele acabou de chegar. Então, eu vou passar para o Senador Eduardo Girão; depois, Senador Marcos Rogério e Senador Luis Carlos Heinze. São os três votos em separado.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"109";"– Então, são quinze minutos com mais cinco de tolerância?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"110";"– Cinco.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"111";"– Perfeito.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para voto em separado.";"26/10/2021"
"112";"Sr. Presidente, eu queria, primeiramente, começar esta sessão, a última sessão nossa, depois de exaustivos quase seis meses de trabalho. E não é fácil desenvolver o trabalho no clima de fla-flu que a gente vive aqui, em que você tem que ser ou contra o Governo ou a favor pra muita gente.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para voto em separado.";"26/10/2021"
"113";"Você não pode ter, no julgamento das pessoas, um caminho do meio, um caminho do equilíbrio, e eu procurei me esforçar, com todas as limitações e imperfeições, justamente para trilhar esse caminho da imparcialidade, esse caminho da independência.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para voto em separado.";"26/10/2021"
"114";"Inclusive, eu queria começar... O senhor, na última sessão, Sr. Presidente, disse que tentou trazer Governadores e tudo, que essa CPI cumpriu o seu papel; me permita discordar. Acredito que essa CPI deixou a desejar com relação a... Já que o STF, que mandou esta CPI abrir, este Senado abrir esta CPI, ele deveria... nós deveríamos pelo menos ter alternativas, chamar secretários de saúde aqui, chamar empresas que fraudaram, durante esse período de pandemia. Documentos nós temos muitos, mas faltou vontade, faltou coragem para essa CPI fazer o seu trabalho.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para voto em separado.";"26/10/2021"
"115";"Então, eu vou ler aqui. A partir da conclusão, são 77 páginas, e eu vou ler aqui apenas a conclusão, que são oito páginas.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para voto em separado.";"26/10/2021"
"116";"– Senador Girão, a única coisa que esta CPI não teve, por parte da grande maioria, foi se acovardar diante dos fatos, apesar de toda a massificação de robôs para destruir reputação, para jogar fake news, nós não arredamos o pé, um minuto, de investigar. O senhor pode ter razão em relação a alguns pontos que não foi possível, e foi porque a CPI não quis. A única coisa que nós não fomos nesta CPI... E eu falo isso por mim, falo pelo Senador Randolfe, pelo Senador Renan, que foram os três dirigentes, e falo também pelas mulheres, que foram corajosas. A Leila foi uma gigante aqui, a Eliziane, a Simone, a Zenaide, o Senador Humberto, o Senador Izalci, o Senador Eduardo, o Senador Otto, o Senador Alessandro, o Senador Marcos Rogério, o Senador Fernando Bezerra, cada um com os seus posicionamentos – cada um com os seus posicionamentos –, mas covardia, não. Cada um teve os seus posicionamentos, a gente discorda dos posicionamentos, mas daí dizer que a gente se acovardou, eu acho que é uma palavra que não cabe na minha história, não cabe na história de outros companheiros que tem aqui, que eu conheço, que essa covardia não existiu. Nós tivemos seis meses de trabalho, alguns concordam, outros discordam, mas é um debate; o debate sempre tem discordância.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"117";"Mas eu pediria para retirar a palavra covardia, porque nós não somos covardes. Eu nunca fui covarde. Já passei por muitos problemas na minha vida, todos nós já passamos, muitos brasileiros passaram, mas a covardia não fez parte da direção desta Mesa. Houve discordâncias, normal, divergências, mas covardia, não. Pode ter certeza disso, Senador.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"118";"– Sr. Presidente, se não foi covardia, foi uma omissão flagrante. E eu vou lhe dar a prova aqui. Só eu entrei com 106 requerimentos nesta Comissão, durante seis meses. Cinquenta deles sequer foram analisados, foram votados, ou seja, houve um engavetamento aqui, quando eu tentava, junto com outros colegas, investigar a corrupção. Então, esse é um ponto que eu quero deixar muito claro aqui, perante a sociedade brasileira.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"119";"Eu peço que reponha meu tempo, Sr. Presidente, por gentileza, que reponha meu tempo, porque foi consumido.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"120";"– Senador Girão, é a última sessão. Eu já fui paciente todos esses seis meses; não é hoje...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"121";"– Te agradeço.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"122";"– ... que V. Exa. não terá o direito de se expressar.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"123";"– Muito obrigado.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
